tship_code,township,district,pop_est,area_km2,pop_density
T01,Thongwa,South,195292.20160887053,720.8834646671315,270.90675702909465
T02,Kyauktan,South,199288.7157236852,802.4981138787064,248.33543191829446
T03,Insein,North,329520.0589585019,29.82500675693529,11048.44876126902
T04,Hmawbi,North,303209.4313773358,471.3539625223326,643.2733263867912
T05,Kayan,South,196422.10302846693,636.7257740689168,308.48775254259914
T06,Dagon Myothit (North),East,235372.89196641487,23.855573921863765,9866.578466623865
T07,Pazundaung,East,38069.07889367687,1.1342253741363548,33563.94572169064
T08,Kungyangon,South,136395.141930669,595.4630543276155,229.05727053827638
T09,Kyauktada,West,28035.100640512657,0.6611901054890482,42400.96820531901
T10,Lanmadaw,West,40040.01476067617,1.356274842098982,29522.05078043762
T11,Hlegu,North,333263.3923088275,1510.1708583120055,220.67926319365802
T12,Htantabin,North,162417.50142450904,599.305816244372,271.00938623008784
T13,Botahtaung,East,53270.63427716411,2.488264149359821,21408.753685122032
T14,Mayangone,West,240883.157508458,27.02052460159885,8914.821642441559
T15,Kyeemyindaing,West,77312.51944121103,4.374128401089422,17674.954265621363
T16,Latha,West,22364.84041770741,0.6159336422952327,36310.4706123316
T17,Mingalartaungnyunt,East,154705.65124199758,4.975481956884059,31093.601098873925
T18,Tamwe,East,142716.04983645809,4.955091330274811,28801.900978996284
T19,Thaketa,East,239582.52195370625,13.68322722838884,17509.21167607595
T20,Dagon Myothit (East),East,186206.0292069931,137.26773857523193,1356.5170603064878
T21,Ahlone,West,64540.81647325632,3.298930814439682,19564.161876555896
T22,Shwepyithar,North,415198.8925069525,56.04090266791698,7408.85447487003
T23,Sanchaung,West,95969.32011399162,2.433847543108323,39431.114075217294
T24,Kawhmu,South,123418.35288241568,615.5146112332496,200.5124665280224
T25,North Okkalapa,East,335619.5953387248,27.86033917605978,12046.500698280108
T26,Cocokyun,South,159.86457908128455,33.31375251821431,4.798756279223679
T27,Yankin,East,78109.45645734137,4.7737103493902575,16362.420578642403
T28,Thanlyin,South,325255.7423929998,359.47156446478374,904.8163319323247
T29,Mingaladon,North,380834.59542833234,128.33907191310803,2967.4096107394043
T30,Dagon Myothit (South),East,379636.86110290297,37.39535744340413,10151.978402064027
T31,Kamaryut,West,102628.7096049851,6.399633655921053,16036.653834088022
T32,Thingangyun,East,230467.877545542,13.047460242310953,17663.811444174346
T33,Bahan,West,123852.31152165438,8.495393802401901,14578.760490966015
T34,Dawbon,East,61847.57328704606,3.013970079392308,20520.301017558904
T35,Pabedan,West,26783.341246873308,0.634611610014492,42204.30389898112
T36,Twantay,South,291736.62056174513,721.7182901930544,404.22506194724224
T37,Seikgyikanaungto,South,37732.91645926906,12.054183411566587,3130.2756205835108
T38,Dagon,West,46120.72169179264,4.879695853079404,9451.556629843533
T39,Seikkan,West,18729.159635257776,1.2460986021350298,15030.238861650088
T40,South Okkalapa,East,170626.22409089323,8.311196517903603,20529.68230547045
T41,Taikkyi,North,344461.6233571722,1764.4203361594375,195.22650940815598
T42,Hlaing,West,172950.76435046713,10.141294812860504,17054.11069710178
T43,Dala,South,212759.81552847425,229.6048824250161,926.6345440104348
T44,Hlaingtharya,North,773198.2104897322,84.46341294082369,9154.238309449398
T45,Dagon Myothit (Seikkan),East,189011.6450346494,77.18818382704679,2448.7121689268147
